tool	rank	metric	sample	value
CLARK (149.6Gb)	kingdom	Bray-Curtis distance	1	1.7143297345568742e-05
CLARK (149.6Gb)	phylum	Bray-Curtis distance	1	0.09120958328488868
CLARK (149.6Gb)	class	Bray-Curtis distance	1	0.12807370810707716
CLARK (149.6Gb)	order	Bray-Curtis distance	1	0.4038968444274762
CLARK (149.6Gb)	family	Bray-Curtis distance	1	0.30593016588692107
CLARK (149.6Gb)	genus	Bray-Curtis distance	1	0.3703939425877497
CLARK (149.6Gb)	species	Bray-Curtis distance	1	0.8043533791705376
CLARK (149.6Gb)	kingdom	Shannon diversity	1	0.04982423627560502
CLARK (149.6Gb)	kingdom	Shannon equitability	1	0.07188117859089536
CLARK (149.6Gb)	phylum	Shannon diversity	1	1.1503271339127505
CLARK (149.6Gb)	phylum	Shannon equitability	1	0.23019377022506887
CLARK (149.6Gb)	class	Shannon diversity	1	1.913109052881565
CLARK (149.6Gb)	class	Shannon equitability	1	0.4127768975791464
CLARK (149.6Gb)	order	Shannon diversity	1	2.930269580476994
CLARK (149.6Gb)	order	Shannon equitability	1	0.5392748430192568
CLARK (149.6Gb)	family	Shannon diversity	1	3.7074123721990895
CLARK (149.6Gb)	family	Shannon equitability	1	0.5894403857221304
CLARK (149.6Gb)	genus	Shannon diversity	1	4.636589663626421
CLARK (149.6Gb)	genus	Shannon equitability	1	0.6010436525125833
CLARK (149.6Gb)	species	Shannon diversity	1	5.607351677448133
CLARK (149.6Gb)	species	Shannon equitability	1	0.6282520724467245
CLARK (149.6Gb)	kingdom	True positives	1	2.0
CLARK (149.6Gb)	kingdom	False negatives	1	0.0
CLARK (149.6Gb)	kingdom	False positives	1	0.0
CLARK (149.6Gb)	kingdom	Completeness	1	1.0
CLARK (149.6Gb)	kingdom	Purity	1	1.0
CLARK (149.6Gb)	kingdom	F1 score	1	1.0
CLARK (149.6Gb)	kingdom	Jaccard index	1	1.0
CLARK (149.6Gb)	phylum	True positives	1	12.0
CLARK (149.6Gb)	phylum	False negatives	1	0.0
CLARK (149.6Gb)	phylum	False positives	1	136.0
CLARK (149.6Gb)	phylum	Completeness	1	1.0
CLARK (149.6Gb)	phylum	Purity	1	0.08108108108108109
CLARK (149.6Gb)	phylum	F1 score	1	0.15
CLARK (149.6Gb)	phylum	Jaccard index	1	0.08108108108108109
CLARK (149.6Gb)	class	True positives	1	21.0
CLARK (149.6Gb)	class	False negatives	1	0.0
CLARK (149.6Gb)	class	False positives	1	82.0
CLARK (149.6Gb)	class	Completeness	1	1.0
CLARK (149.6Gb)	class	Purity	1	0.20388349514563106
CLARK (149.6Gb)	class	F1 score	1	0.33870967741935487
CLARK (149.6Gb)	class	Jaccard index	1	0.20388349514563106
CLARK (149.6Gb)	order	True positives	1	40.0
CLARK (149.6Gb)	order	False negatives	1	0.0
CLARK (149.6Gb)	order	False positives	1	189.0
CLARK (149.6Gb)	order	Completeness	1	1.0
CLARK (149.6Gb)	order	Purity	1	0.17467248908296942
CLARK (149.6Gb)	order	F1 score	1	0.29739776951672864
CLARK (149.6Gb)	order	Jaccard index	1	0.17467248908296942
CLARK (149.6Gb)	family	True positives	1	83.0
CLARK (149.6Gb)	family	False negatives	1	5.0
CLARK (149.6Gb)	family	False positives	1	456.0
CLARK (149.6Gb)	family	Completeness	1	0.9431818181818182
CLARK (149.6Gb)	family	Purity	1	0.15398886827458255
CLARK (149.6Gb)	family	F1 score	1	0.2647527910685805
CLARK (149.6Gb)	family	Jaccard index	1	0.15257352941176472
CLARK (149.6Gb)	genus	True positives	1	175.0
CLARK (149.6Gb)	genus	False negatives	1	19.0
CLARK (149.6Gb)	genus	False positives	1	2065.0
CLARK (149.6Gb)	genus	Completeness	1	0.9020618556701031
CLARK (149.6Gb)	genus	Purity	1	0.078125
CLARK (149.6Gb)	genus	F1 score	1	0.1437962202136401
CLARK (149.6Gb)	genus	Jaccard index	1	0.07746790615316512
CLARK (149.6Gb)	species	True positives	1	56.0
CLARK (149.6Gb)	species	False negatives	1	185.0
CLARK (149.6Gb)	species	False positives	1	7464.0
CLARK (149.6Gb)	species	Completeness	1	0.23236514522821577
CLARK (149.6Gb)	species	Purity	1	0.007446808510638298
CLARK (149.6Gb)	species	F1 score	1	0.014431130009019457
CLARK (149.6Gb)	species	Jaccard index	1	0.007268007787151201
CLARK (149.6Gb)	strain	True positives	1	0.0
CLARK (149.6Gb)	strain	False negatives	1	596.0
CLARK (149.6Gb)	strain	False positives	1	0.0
CLARK (149.6Gb)	strain	Completeness	1	0.0
CLARK (149.6Gb)	strain	Purity	1	0.0
CLARK (149.6Gb)	strain	Jaccard index	1	0.0
CLARK (149.6Gb)	kingdom	L1 norm error	1	3.4286594691137484e-05
CLARK (149.6Gb)	phylum	L1 norm error	1	0.18241916656977747
CLARK (149.6Gb)	class	L1 norm error	1	0.2561474162141543
CLARK (149.6Gb)	order	L1 norm error	1	0.8077936888549528
CLARK (149.6Gb)	family	L1 norm error	1	0.6118603317738424
CLARK (149.6Gb)	genus	L1 norm error	1	0.7407878851755002
CLARK (149.6Gb)	species	L1 norm error	1	1.608706758341086
CLARK (149.6Gb)	na	Weighted UniFrac error	1	0.03229081953061066
CLARK (149.6Gb)	na	Unweighted UniFrac error	1	9.586213854732819
CLARK (149.6Gb)	na	Weighted UniFrac (CAMI)	1	5.012627692044255
CLARK (149.6Gb)	na	Unweighted UniFrac (CAMI)	1	65410.12957534858
CLARK (149.6Gb)	kingdom	Sum of abundances	1	1.0
CLARK (149.6Gb)	phylum	Sum of abundances	1	1.0
CLARK (149.6Gb)	class	Sum of abundances	1	1.0
CLARK (149.6Gb)	order	Sum of abundances	1	1.0000000000000002
CLARK (149.6Gb)	family	Sum of abundances	1	0.9999999999999994
CLARK (149.6Gb)	genus	Sum of abundances	1	1.0000000000000029
CLARK (149.6Gb)	species	Sum of abundances	1	1.000000000000008
CLARK (149.6Gb)	kingdom	Taxon counts	1	2.0
CLARK (149.6Gb)	phylum	Taxon counts	1	148.0
CLARK (149.6Gb)	class	Taxon counts	1	103.0
